,Unnamed: 0,술 이름,텍스트 내용,output,output2
0,0,고도리 복숭아 와인,"GAP인증 복숭아로 만든 디저트 와인
복숭아의 당도가 가장 높은 8월 말에 수확하여 별도의 당을 첨가하지 안히고 순수 발효한 와인이며 복숭아를 발효하여 끝에서 느껴지는 복숭아의 부드럽고 향긋한 맛과 향이 특징입니다
고도리 복숭아와인은 복숭아를 8월 말 가장 당이 높고 향기가 무르익었을 때 수확하여 -10도에서 20일간 냉동 숙성시켜, 당이 35BX되었을때 파쇄 후 발효시켜 만든 복숭아 아이스 와인입니다. 풍부한 복숭아 향을 담고 있어 더위의 갈증을 시원하게 해소시켜 줍니다.
고도리 복숭아와인은 미디엄 스위트 와인으로 풍부한 산과 복숭아의 아로마 향으로 생선 요리나 흰 살코기 닭과 오리를 이용한 요리와 잘 어울립니다.","[['복숭아', 10], ['와인', 6], ['발효', 3], ['수확', 2], ['고도리', 2], ['풍부', 2], ['요리', 2], ['GAP', 1], ['인증', 1], ['디저트', 1], ['당도', 1], ['별도', 1], ['첨가', 1], ['순수', 1], ['향긋', 1], ['특징', 1], ['향기', 1], ['10', 1], ['20', 1], ['냉동', 1], ['숙성', 1], ['35', 1], ['BX', 1], ['파쇄', 1], ['아이스', 1], ['더위', 1], ['갈증', 1], ['시원', 1], ['해소', 1], ['미디엄', 1], ['스위트', 1], ['아로마', 1], ['생선', 1], ['살코기', 1], ['오리', 1], ['이용', 1]]","[('복숭아', 10), ('와인', 6), ('높', 2), ('8월', 2), ('고도리', 2), ('풍부', 2), ('인증', 1), ('디저트', 1), ('순수', 1), ('부드럽', 1), ('향긋', 1), ('BX', 1), ('파쇄', 1), ('아이스', 1), ('시원', 1), ('미디엄', 1), ('아', 1), ('로마', 1), ('생선', 1), ('희', 1), ('코기', 1), ('이용한', 1)]"
1,1,고도리 화이트,"GAP인증 거봉 포도로 만든 신의 물방울
포도의 당도가 가장 높은 10월 말에 수확하여 별도의 당을
첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을
발산하고 아로마틱한 부케향이 풍부한 화이트 스위트 와인입니다.
영전 시 나에서 6km 떨어진 고도리에서 전통 와인 떼루아에 맞는 농법을 사용하 GAP 인증을 받아 성산.수확.포장단계까지 철저한 관
리를 통하 생산한 포도로 우리나라 최고의 와인을 생산하고 있습니다.
고도리 화이트 와인은 거봉 포도를 10결 말 가장 당도가 올랐을 때 수확하여 당을 첨가하지 않고 발효한 와인입니다. 풍부한 산과 달큼
한 과일향을 법니다. 저온에서 6개결 이상 2차 숙성을 거치면서 주석산을 제거하며 젖산 발효로 아로마틱한 부케향을 탭니다.
고도리 화이트와인온 달큼한 과일향과 함께 식빵향과 레몬향. 상큼한 불잎향을 가지고 있어 오리고기와 담고기. 싱싱한 해산물 요리에
살 어울립니다.","[['와인', 6], ['포도', 4], ['수확', 3], ['발효', 3], ['풍부', 3], ['일향', 3], ['화이트', 3], ['고도리', 3], ['GAP', 2], ['인증', 2], ['거봉', 2], ['당도', 2], ['10', 2], ['첨가', 2], ['아로마', 2], ['부케', 2], ['생산', 2], ['달큼', 2], ['물방울', 1], ['별도', 1], ['순수', 1], ['산미', 1], ['달콤', 1], ['발산', 1], ['스위트', 1], ['영전', 1], ['km', 1], ['전통', 1], ['루아', 1], ['농법', 1], ['사용', 1], ['성산', 1], ['포장', 1], ['단계', 1], ['철저', 1], ['통하', 1], ['우리나라', 1], ['최고', 1], ['저온', 1], ['개결', 1], ['이상', 1], ['숙성', 1], ['주석산', 1], ['제거', 1], ['젖산', 1], ['인온', 1], ['식빵', 1], ['레몬', 1], ['상큼', 1], ['오리고기', 1], ['싱싱', 1], ['해산물', 1], ['요리', 1]]","[('와인', 7), ('포도', 3), ('풍부', 3), ('화이트', 3), ('고도리', 3), ('인증', 2), ('아', 2), ('로마', 2), ('부케', 2), ('크', 2), ('신의 물방울', 1), ('높', 1), ('10월', 1), ('순수', 1), ('미와', 1), ('달콤', 1), ('영전', 1), ('떼루아', 1), ('성산', 1), ('수확', 1), ('포장', 1), ('철저', 1), ('우리나라', 1), ('온', 1), ('숙성', 1), ('석산', 1), ('발효', 1), ('태', 1), ('일향', 1), ('식빵', 1), ('레몬', 1), ('상큼', 1), ('오리고기', 1), ('고기', 1), ('싱싱', 1), ('해산물', 1)]"
2,2,매실원주,"황매실로 담근 100% 매실주

국내 유일 기타 과실주를 첨가하지 않고 매실주 원액 100%로 담근 매실주입니다.



완숙한 상태에서 수확되는 황매실를 특허 받은 제조 기술로 담가 매실 본연의 향미를 더하였습니다.



전통 제조방법으로 설탕 대신 제주도 꿀을 가미하여 완벽한 조화를 이룹니다.



세계 3대 주류 품평회 및 우리술 품평회에서 수상을 하여 그 품질을 인정받았습니다.","[['매실', 3], ['매실주', 3], ['100', 2], ['제조', 2], ['품평회', 2], ['국내', 1], ['유일', 1], ['기타', 1], ['과실주', 1], ['첨가', 1], ['원액', 1], ['완숙', 1], ['상태', 1], ['수확', 1], ['특허', 1], ['기술', 1], ['본연', 1], ['향미', 1], ['전통', 1], ['방법', 1], ['설탕', 1], ['대신', 1], ['제주도', 1], ['가미', 1], ['완벽', 1], ['조화', 1], ['세계', 1], ['주류', 1], ['우리', 1], ['수상', 1], ['품질', 1]]","[('매실주', 3), ('황', 2), ('과실주', 1), ('특허', 1), ('미', 1), ('설탕', 1), ('제주도', 1), ('주류', 1)]"
3,3,엠,"화사한 메밀향과 스파이시한 목넘김
반전매력 가득 메밀 증류주

프레시하고 화사한 메밀 향을 가득담아
마시기 좋은 24도 정통 증류주
정통 증류주 M은 쌀과 메밀, 국으로 만들어진 정통 증류주로
메밀 특유의 향과 넘김이 매력적입니다
시원한 술맛과 따뜻하고 스파이시한 목 넘김이 반전 매력으로
온 몸의 열기가 진한 여운을 주는 특별한 술입니다.","[['메밀', 5], ['증류주', 4], ['넘김', 3], ['매력', 3], ['정통', 3], ['화사', 2], ['스파이', 2], ['반전', 2], ['프레시', 1], ['24', 1], ['특유', 1], ['시원', 1], ['술맛', 1], ['따뜻', 1], ['열기', 1], ['여운', 1], ['특별', 1]]","[('메밀', 5), ('증류주', 4), ('정통', 3), ('화사', 2), ('스파이', 2), ('반전', 2), ('매력', 2), ('마시기', 1), ('좋', 1), ('24', 1), ('시원', 1), ('따뜻', 1), ('진한', 1), ('여운', 1), ('특별', 1)]"
4,4,술예쁘다,홍국쌀 특유의 과일향과 새콤달콤함이 인상적인 삼양주 탁주,"[['홍국', 1], ['특유', 1], ['일향', 1], ['새콤달콤', 1], ['인상', 1], ['양주', 1], ['탁주', 1]]","[('홍국', 1), ('일향', 1), ('양주', 1)]"
5,5,헤라클레스,"헤라클레스 생 막걸리는 인공감미료를 사용하지 않은 밀입국에 국내산 쌀에 좋은 재료를 더하여 3단 발효 기법으로 한 단계 발전시켜 만든 대한민국 최초의 진정한 기능성 프리미엄 생 막걸리라 할 수 있습니다.
주질은 인공감미료 없이 쌀 본연의 진하고 깊은 묵직한 풍미를 지니고, 제품은 프리미엄! 가격은 중저가!
맛은 담백하며 부드럽고 시간이 지날수록 탄산과 산미가 더 해집니다.
코로나로 힘든 시기에 국민들에게 조금이나마 힘이 되고자 좋은 약재를 사용해서 건강함을 더 하고자 노력했습니다.","[['막걸리', 2], ['인공감미료', 2], ['사용', 2], ['프리미엄', 2], ['헤라클레스', 1], ['밀입국', 1], ['국내', 1], ['재료', 1], ['발효', 1], ['기법', 1], ['단계', 1], ['발전', 1], ['대한민국', 1], ['최초', 1], ['진정', 1], ['기능', 1], ['본연', 1], ['묵직', 1], ['풍미', 1], ['제품', 1], ['가격', 1], ['중저가', 1], ['담백', 1], ['시간', 1], ['탄산', 1], ['산미', 1], ['코로나', 1], ['시기', 1], ['국민', 1], ['조금', 1], ['약재', 1], ['건강', 1], ['노력', 1]]","[('막걸리', 2), ('인공', 2), ('감미료', 2), ('좋', 2), ('프리미엄', 2), ('헤라클레스', 1), ('단', 1), ('발효', 1), ('대한민국', 1), ('진정', 1), ('진하', 1), ('깊', 1), ('묵직', 1), ('담백', 1), ('부드럽', 1), ('탄산', 1), ('코로나', 1), ('힘들', 1)]"
6,6,용50,"향기 뿜는 용,
부드럽게 넘어가는 본연의 깔끔함

가장 술 맛이 좋은 50도
거부감 없는 부드러운 목 넘김
향긋한 향기가 매력 적인 증류주
깔끔하고 화한 기 분좋은 느낌","[['향기', 2], ['깔끔', 2], ['본연', 1], ['50', 1], ['거부', 1], ['넘김', 1], ['향긋', 1], ['매력', 1], ['증류주', 1], ['느낌', 1]]","[('부드럽', 2), ('깔끔', 2), ('좋', 2), ('50', 1), ('없', 1), ('향긋', 1), ('매력', 1), ('증류주', 1)]"
7,7,너브내 애플 스파클링 라이트,"향긋한 홍천 사과의 향과 살구 향이 어우러진 아로마가 매력적이며, 톡 쏘는 천연 탄산과 달콤함, 풍부한 산미가 함께 어우러져 입맛을 돋궈주는 가벼운 식전주로 추천합니다","[['향긋', 1], ['홍천', 1], ['사과', 1], ['살구', 1], ['아로마', 1], ['매력', 1], ['천연', 1], ['탄산', 1], ['달콤', 1], ['풍부', 1], ['산미', 1], ['입맛', 1], ['식전', 1], ['추천', 1]]","[('향긋', 1), ('홍', 1), ('천', 1), ('사과', 1), ('아로', 1), ('마가', 1), ('탄산', 1), ('달콤', 1), ('풍부', 1), ('가볍', 1), ('전주', 1)]"
8,8,호호,"항아리에서 100일동안
저온 발효 숙성하는
단호박 막걸리입니다.

밑술은 구멍떡, 덧술은 찹쌀 고두밥에 단호박을 넣어
빚은 술로, 저온에서 100일동안 발효, 숙성시킵니다.

단호박죽처럼 부드러운
질감에 오렌지 케이크를
먹는 듯, 많이 달지 않고
산뜻한, 반전매력이 있는
술입니다.
디캔팅해서 즐기면 더
풍부한 맛과 향을
느낄 수 있습니다.

2022년 대한민국 주류대상,탁주부문 '대상' 호호.
술 읽는 아나운서 김하은과 충북무형문화재 청명주
제조21능보유자 김영섭 명인이 함께 연구 개발한
단호박 막걸리 '호호'
이름처럼, 여러분이 항상 행복하기를 바라는 마음을 담았습니다.

안주 없이 즐기기에도 좋고 간단한 치즈, 행 안주와 잘 이울려,
홈파티나 피크닉 술로 추천드립니다. 한국 농산물을 사용해
빚은 술로써 반주로 한 잔, 식사에 곁들여도 좋습니다.","[['단호박', 3], ['100', 2], ['동안', 2], ['저온', 2], ['발효', 2], ['숙성', 2], ['막걸리', 2], ['대상', 2], ['호호', 2], ['안주', 2], ['항아리', 1], ['밑술', 1], ['구멍', 1], ['찹쌀', 1], ['고두밥', 1], ['호박죽', 1], ['질감', 1], ['오렌지', 1], ['케이크', 1], ['산뜻', 1], ['반전', 1], ['매력', 1], ['풍부', 1], ['2022', 1], ['대한민국', 1], ['주류', 1], ['탁주', 1], ['부문', 1], ['아나운서', 1], ['김하은', 1], ['충북', 1], ['무형문화재', 1], ['청명주', 1], ['제조', 1], ['21', 1], ['보유자', 1], ['김영섭', 1], ['명인', 1], ['연구', 1], ['개발', 1], ['이름', 1], ['여러분', 1], ['행복', 1], ['마음', 1], ['간단', 1], ['치즈', 1], ['홈파티', 1], ['피크닉', 1], ['추천', 1], ['한국', 1], ['농산물', 1], ['사용', 1], ['반주', 1], ['식사', 1]]","[('호박', 3), ('동안', 2), ('발효', 2), ('막걸리', 2), ('대상', 2), ('안주', 2), ('좋', 2), ('항아리', 1), ('구멍', 1), ('찹쌀', 1), ('온', 1), ('호박죽', 1), ('부드럽', 1), ('질감', 1), ('오렌지', 1), ('케이크', 1), ('산뜻', 1), ('반전', 1), ('매력', 1), ('풍부', 1), ('대한민국', 1), ('주류', 1), ('탁', 1), ('주부', 1), ('문', 1), ('아나운서', 1), ('김하은', 1), ('충북', 1), ('무형문화재', 1), ('청명', 1), ('주', 1), ('김영섭', 1), ('명인', 1), ('간단', 1), ('치즈', 1), ('홈파티', 1), ('피크닉', 1), ('한국', 1), ('반주', 1)]"
9,9,참주가 라봉,"한라봉을 듬뿍 갈아넣은 수제 프리미엄 막걸리 산뜻함으로
시작해서 기분좋은 맛과 함께 깔끔하게 마무리 되는 젊은
감성에 맞춘 막걸리

막걸리가 건강에 유익할까요?
막걸리는 식이성유가 풍부하며 몸에 유익한 유산균 덩어리입니다. 하지만 막걸리도 술의 한
종류임이 분명한데, 과연 건강에 유익할까요?
과하지 않게만 마신다면 어떤 술보다 건강에 이로울 수 있습니다.
막걸리의 성분을 보면 물이 80%입니다.20% 중에서 알코올 5~8%, 단백질 2%, 탄수화물
0.8%, 지방0.1%, 나머지 100/亡 식이성유, 비타민B• C와 유산균, 효모 등이 혼합된 물질 바
로 이것이 영양의 보고이다. 와인이 알코올 • 물(95~99%)을 제외하면 약 1~5%만이 몸에 좋
은 무기질인 것에 비해 막걸리의 영양이 양적으로도 훨씬 우위입니다. 막걸리 한 병에는 700
억~800억 개의 유산균을 함유, 일반 유구르트65m2짜리 100~120병 정도와 맞먹습니다, 유산
균은 장에서 염증이나 암을 일으키는 유해 세균을 파괴하고 면역력을 강화합니다. 또한 막걸
리는 비타민B가 풍부합니다. 막걸리 200m2(4분의3 사발)에는 비타민 B기리보플라빈)이 약
68gg, 콜린(비타민 B군 복합체)이 약 44%, 아이아신(비타민B3)이 50니g 들어있습니다. 비타민
B군은 특히 중년 남성들에게 도움이 되는 영양소로, 피로완화와 피부재생, 시력 증진효과가
있습니다. 막걸리 한 사발에는 이른바 식이음료와 같은 양과 비교해도 100~1000배 이상 많
은 식이성유가 들어있습니다. 식이성유는 대장 운동을 활발하게 해 변비를 예방하는 것은 물
론 심혈관 질환 예방효과도 있습니다.","[['막걸리', 10], ['비타민', 6], ['%,', 5], ['식이', 4], ['성유', 4], ['건강', 3], ['유익', 3], ['유산균', 3], ['100', 3], ['풍부', 2], ['알코올', 2], ['영양', 2], ['사발', 2], ['효과', 2], ['예방', 2], ['한라', 1], ['수제', 1], ['프리미엄', 1], ['산뜻', 1], ['시작', 1], ['기분', 1], ['깔끔', 1], ['마무리', 1], ['감성', 1], ['덩어리', 1], ['종류', 1], ['성분', 1], ['80', 1], ['20', 1], ['단백질', 1], ['탄수화물', 1], ['지방', 1], ['나머지', 1], ['亡', 1], ['효모', 1], ['혼합', 1], ['물질', 1], ['이것', 1], ['보고', 1], ['와인', 1], ['95', 1], ['99', 1], ['%)', 1], ['제외', 1], ['무기질', 1], ['우위', 1], ['700', 1], ['800', 1], ['함유', 1], ['일반', 1], ['유구', 1], ['65', 1], ['짜리', 1], ['120', 1], ['정도', 1], ['유산', 1], ['염증', 1], ['유해', 1], ['세균', 1], ['파괴', 1], ['면역력', 1], ['강화', 1], ['200', 1], ['리보', 1], ['플라', 1], ['68', 1], ['gg', 1], ['콜린', 1], ['복합체', 1], ['44', 1], ['아이', 1], ['아신', 1], ['50', 1], ['중년', 1], ['남성', 1], ['도움', 1], ['영양소', 1], ['피로', 1], ['완화', 1], ['피부', 1], ['재생', 1], ['시력', 1], ['증진', 1], ['음료', 1], ['비교', 1], ['1000', 1], ['이상', 1], ['대장', 1], ['운동', 1], ['활발', 1], ['변비', 1], ['혈관', 1], ['질환', 1]]","[('막걸리', 10), ('비타민', 6), ('유산', 4), ('유익', 3), ('이성', 2), ('유가', 2), ('풍부', 2), ('알코올', 2), ('성유', 2), ('영양', 2), ('은', 2), ('사발', 2), ('프리미엄', 1), ('산뜻', 1), ('좋', 1), ('깔끔', 1), ('젊', 1), ('감성', 1), ('분명', 1), ('이롭', 1), ('단백질', 1), ('탄수화물', 1), ('0.1', 1), ('효모', 1), ('와인', 1), ('만', 1), ('무기질', 1), ('염증', 1), ('세균', 1), ('콜린', 1), ('아신', 1), ('중년', 1), ('영양소', 1), ('피로', 1), ('피부', 1), ('재생', 1), ('시력', 1), ('음료', 1), ('같', 1), ('배', 1), ('대장', 1), ('활발', 1), ('변비', 1)]"
10,10,문희 탁주,"프리미엄 탁주인 문희는 문경주조가 위치한 문경의 옛 이름인 '문희'에서 따온 술로 기쁜 소식을 전한다는 의미를 담고 있다. 모든 술 빚는 과정 하나하나를 손으로 직접 하고 있는 '수제전통주'로, 힘겨운 육체노동 뒤 황토 벽돌로 지은 황토 방에서 100일 이상 자연 건조로 숙성시키는 기다림 끝에서야 비로소 진짜배기 탁주를 얻을 수 있다.

'문희'는 재료를 세 번에 담는 전통 삼양주 기법으로 90일에서 100일간을 숙성시켜 빚고 있다. 인공 감미료를 전혀 쓰지 않고 유기농 햇 찹쌀과 전통누룩 그리고 천연 암반수로만 빚어 숙취가 없고 풍미가 상당히 뛰어난 탁주다.

서양와인보다 진하게 감동을 느끼며 우리 정서에 와 닿은 멋진 우리의 전통술로 식전, 식후주로 제격이다. 단맛이 입안에서 묵직하게 느껴지지만 마시고 나면 깔끔하게 가신다.

주종: 탁주
용량: 500ml
도수: 13%
원재료: 유기농 햇찹쌀, 우리밀 전통누룩

문희 맛과 어울리는 음식

찹쌀에서 나오는 진한 단맛과 감칠맛이 특징이며, 전통 누룩의 사용으로 연한 아이보리 색이 특징이며, 단맛이 있지만 무겁게 느껴지지 않고 목넘김이 깔끔하다. 도토리 묵과 잘 어울린다. ","[['탁주', 4], ['문희', 4], ['전통', 4], ['찹쌀', 3], ['누룩', 3], ['우리', 3], ['단맛', 3], ['문경', 2], ['황토', 2], ['100', 2], ['숙성', 2], ['유기농', 2], ['깔끔', 2], ['특징', 2], ['프리미엄', 1], ['주조', 1], ['위치', 1], ['이름', 1], ['소식', 1], ['의미', 1], ['과정', 1], ['하나하나', 1], ['수제전통주', 1], ['육체', 1], ['노동', 1], ['벽돌', 1], ['이상', 1], ['자연', 1], ['건조로', 1], ['다림', 1], ['진짜배기', 1], ['재료', 1], ['양주', 1], ['기법', 1], ['90', 1], ['인공', 1], ['감미료', 1], ['암반', 1], ['숙취', 1], ['풍미', 1], ['서양', 1], ['와인', 1], ['감동', 1], ['정서', 1], ['전통술', 1], ['식전', 1], ['식후', 1], ['제격', 1], ['묵직', 1], ['주종', 1], ['용량', 1], ['500', 1], ['ml', 1], ['13', 1], ['원재료', 1], ['음식', 1], ['감칠맛', 1], ['사용', 1], ['아이보리', 1], ['넘김', 1], ['도토리', 1]]",[]
11,11,이동 생 밀막걸리,"포천은 군사지역인 탓에 군인들이 거주하는 경우가 많았는데,
이들은 제대한 후에도 이동막걸리를 잊지 못해 찾아옵니다.
맛 하나로 전국으로 입소문 난 포천 명물 이동막걸리","[['포천', 2], ['막걸리', 2], ['군사', 1], ['지역', 1], ['군인', 1], ['거주', 1], ['경우', 1], ['제대', 1], ['이동', 1], ['하나', 1], ['전국', 1], ['입소문', 1], ['명물', 1]]","[('포천', 2), ('이동', 2), ('막걸리', 2), ('많', 1), ('하나로', 1), ('소문', 1)]"
12,12,천비향 약주,탁주의 맑은 부분만을 여과하여 1년이상 장기숙성한 프리미엄 오양주 약주,"[['탁주', 1], ['부분', 1], ['여과', 1], ['이상', 1], ['장기', 1], ['숙성', 1], ['프리미엄', 1], ['양주', 1], ['약주', 1]]","[('맑', 1), ('1년', 1), ('이상', 1), ('장기', 1), ('숙성', 1), ('한', 1), ('프리미엄', 1), ('양주', 1)]"
13,13,송로주,"충청북도 시도무형문화재 제3호
소나무의 관솔을 넣어 빚은 향토술
솔잎과 복령(茯?)이 첨가
소나무의 관솔을 넣어 빚은 충청북도 보은 지방의 향토술로,
관솔 특유의 향과 알싸한 맛을 가지고 있다.
충청북도 보은 지방의 향토술로 소나무의 관솔을 주재료로 하여 빚은 청주인
송절주를 소주로 증류하여 만든 술이다.
이때 관솔은 송진이 엉긴 소나무의 가지나 옹이를 가리킨다.","[['관솔', 5], ['소나무', 4], ['충청북도', 3], ['향토', 3], ['지방', 2], ['시도', 1], ['무형문화재', 1], ['솔잎', 1], ['복령', 1], ['茯', 1], ['첨가', 1], ['특유', 1], ['알싸', 1], ['주재료', 1], ['청주', 1], ['송절주', 1], ['소주', 1], ['증류', 1], ['이때', 1], ['송진', 1], ['가지', 1], ['옹이', 1]]","[('소나무', 4), ('충청북도', 3), ('시도', 1), ('무형문화재', 1), ('복령', 1), ('청주', 1), ('송', 1), ('소주', 1), ('송진', 1)]"
14,14,너브내 화이트 스위트,청향'청포도로 만든 와인으로 새콤달콤 밸런스가 좋으며 천연의 과일향이 풍부합니다. 산뜻하게 입안을 감도는 풍부한 머스캣 향의 여운이 특징으로 웰컴드링크 또는 식전주로 추천드립니다,"[['풍부', 2], ['청향', 1], ['청포도', 1], ['와인', 1], ['새콤달콤', 1], ['밸런스', 1], ['천연', 1], ['일향', 1], ['산뜻', 1], ['입안', 1], ['머스캣', 1], ['여운', 1], ['특징', 1], ['웰컴', 1], ['드링크', 1], ['식전', 1], ['추천', 1]]","[('풍부', 2), ('청포도', 1), ('와인', 1), ('밸런스', 1), ('좋', 1), ('산뜻', 1), ('머스캣', 1), ('여운', 1), ('전주', 1)]"
15,15,고백주,"청정지역 안동에서 재배한 자색고구마와 안동농협0
계약 재배한 고품질의 '백진주쌀로 빛어 부드럽고
깨끗한 약주입니다. '저온 숙성을 거친 13도 주로
위에 부담이 적어 부드럽게 넘어가는 타입이며.
분홍색을 띄는 자색고구마의 맛과 향이 은은하게
살아있어 시각적인 매력 또한 느낄 수 있어 여성
이나 젊은 층이 부담 없이 즐길수 있습니다.
안토시아닌이 풍부해 노화 방지에 효능이 있는
자색 고구마의 맛과 향이 은은하게 살아있으며
투명한 자주빛을 띄어 시각적인 아름다움도
선사합니다.","[['자색', 3], ['고구마', 3], ['안동', 2], ['재배', 2], ['부담', 2], ['은은', 2], ['시각', 2], ['청정', 1], ['지역', 1], ['농협', 1], ['계약', 1], ['고품질', 1], ['백진주', 1], ['깨끗', 1], ['약주', 1], ['저온', 1], ['숙성', 1], ['13', 1], ['타입', 1], ['분홍색', 1], ['매력', 1], ['여성', 1], ['안토시아닌', 1], ['풍부', 1], ['노화', 1], ['방지', 1], ['효능', 1], ['투명', 1], ['선사', 1]]","[('고구마', 3), ('안동', 2), ('부드럽', 2), ('은은', 2), ('청정', 1), ('지역', 1), ('농협', 1), ('품질', 1), ('진주', 1), ('깨끗', 1), ('숙성', 1), ('13', 1), ('적', 1), ('매력', 1), ('이나', 1), ('젊', 1), ('안토시아닌', 1), ('풍부', 1), ('노화', 1), ('아름답', 1)]"
