,Unnamed: 0,술 이름,텍스트 내용,output,output2
16,16,청명주 탁주,"청명(淸明)은 24절기의 하나로 동지 후 105일 째,
춘분에서 15일 째,
음력 3월이며 양력으로는 4월 5일 또는 6일 무렵에 해당한다.
청명주는 청명절(淸明節)에 담그는 술이다.
大주(春酒)라고도 한다.

청명주는
인공감미료가 전혀 없이
100% 국내산 찹쌀과
누룩만을 사용하여
전통방식으로 빚습니다.

청명주는 저온에서
오랜 기간 발효 숙성시켜
과일향이 풍부하고
산미가 좋으며 숙취가
없는 것이 특징입니다.

청명주는 차갑게 드시면
더욱 향긋한 맛을
느낄 수 있습니다.
식전주, 담백한 해산물
요리, 봉골레파스타,
알리오올리오 파스타 등
다양한 음식과
페어링 하기 좋습니다.","[['청명주', 4], ['淸明', 2], ['파스타', 2], ['청명', 1], ['24', 1], ['절기', 1], ['하나', 1], ['동지', 1], ['105', 1], ['춘분', 1], ['15', 1], ['음력', 1], ['양력', 1], ['무렵', 1], ['해당', 1], ['청명절', 1], ['節', 1], ['大', 1], ['春酒', 1], ['인공감미료', 1], ['100', 1], ['국내', 1], ['찹쌀', 1], ['누룩', 1], ['사용', 1], ['전통', 1], ['방식', 1], ['저온', 1], ['기간', 1], ['발효', 1], ['숙성', 1], ['일향', 1], ['풍부', 1], ['산미', 1], ['숙취', 1], ['특징', 1], ['향긋', 1], ['식전', 1], ['담백', 1], ['해산물', 1], ['요리', 1], ['다양', 1], ['음식', 1], ['페어링', 1]]","[('청명', 5), ('주', 5), ('좋', 2), ('파스타', 2), ('절기', 1), ('하나로', 1), ('동지', 1), ('춘분', 1), ('음력 3월', 1), ('양력', 1), ('4월 5일', 1), ('청', 1), ('명절', 1), ('인공', 1), ('감미료', 1), ('찹쌀', 1), ('누룩', 1), ('온', 1), ('발효', 1), ('풍부', 1), ('숙취', 1), ('없', 1), ('차갑', 1), ('향긋', 1), ('전주', 1), ('담백', 1), ('해산물', 1), ('요리', 1), ('봉고', 1), ('레', 1), ('리오', 1), ('다양', 1), ('페어', 1)]"
17,17,청명주,"청명(淸明)은 24절기의 하나로 동지 후 105일 째,
춘분에서 15일 째,
음력 3월이며 양력으로는 4월 5일 또는 6일 무렵에 해당한다.
청명주는 청명절(淸明節)에 담그는 술이다.
大주(春酒)라고도 한다.

청명주는
인공감미료가 전혀 없이
100% 국내산 찹쌀과
누룩만을 사용하여
전통방식으로 빚습니다.

청명주는 저온에서
오랜 기간 발효 숙성시켜
과일향이 풍부하고
산미가 좋으며 숙취가
없는 것이 특징입니다.

청명주는 차갑게 드시면
더욱 향긋한 맛을
느낄 수 있습니다.
식전주, 담백한 해산물
요리, 봉골레파스타,
알리오올리오 파스타 등
다양한 음식과
페어링 하기 좋습니다.","[['청명주', 4], ['淸明', 2], ['파스타', 2], ['청명', 1], ['24', 1], ['절기', 1], ['하나', 1], ['동지', 1], ['105', 1], ['춘분', 1], ['15', 1], ['음력', 1], ['양력', 1], ['무렵', 1], ['해당', 1], ['청명절', 1], ['節', 1], ['大', 1], ['春酒', 1], ['인공감미료', 1], ['100', 1], ['국내', 1], ['찹쌀', 1], ['누룩', 1], ['사용', 1], ['전통', 1], ['방식', 1], ['저온', 1], ['기간', 1], ['발효', 1], ['숙성', 1], ['일향', 1], ['풍부', 1], ['산미', 1], ['숙취', 1], ['특징', 1], ['향긋', 1], ['식전', 1], ['담백', 1], ['해산물', 1], ['요리', 1], ['다양', 1], ['음식', 1], ['페어링', 1]]","[('청명', 5), ('주', 5), ('좋', 2), ('파스타', 2), ('절기', 1), ('하나로', 1), ('동지', 1), ('춘분', 1), ('음력 3월', 1), ('양력', 1), ('4월 5일', 1), ('청', 1), ('명절', 1), ('인공', 1), ('감미료', 1), ('찹쌀', 1), ('누룩', 1), ('온', 1), ('발효', 1), ('풍부', 1), ('숙취', 1), ('없', 1), ('차갑', 1), ('향긋', 1), ('전주', 1), ('담백', 1), ('해산물', 1), ('요리', 1), ('봉고', 1), ('레', 1), ('리오', 1), ('다양', 1), ('페어', 1)]"
18,18,볼빨간막걸리 10,"첨가물 없는 프리미엄 수제 막걸리
풋사과와 포도의 향을 머금은 찹쌀의 풍미 가득한 바디감
살아있는 生유산균이 가득

벗드림이 만든 부산 프리미엄 무감미료 막걸리
100% 전통방식으로 건강하고 정직하게 빚어 저온발효
처음부터 끝까지 수제로 직접! 믿을 수 있는 막걸리
특유의 풍미와 生유산균이 가득한 생 막걸리

은은하게 느껴지는 풋사과 & 포도 향
밝은 아이보리 컬러
부드럽고 묵직함
전통방식발효로 산미와 단맛의 밸런스가
뛰어나고 목넘김 후에 입안 가득 퍼지는 꽃향이
첫사랑의 설레임을 떠올리게 하는 맛

부드러운 목넘김이 인상적인 볼빨간 막걸리는
어떤 음식과도 잘 어울립니다.
벗드림이 추천드리는 최고의 조합.
본인이 좋아하는 음식, 안주와 함께 볼빨간막걸리를 즐겨보세요!","[['막걸리', 6], ['프리미엄', 2], ['수제', 2], ['풋사과', 2], ['포도', 2], ['풍미', 2], ['生', 2], ['유산균', 2], ['드림', 2], ['전통', 2], ['방식', 2], ['발효', 2], ['넘김', 2], ['음식', 2], ['첨가물', 1], ['찹쌀', 1], ['바디', 1], ['부산', 1], ['감미료', 1], ['100', 1], ['건강', 1], ['정직', 1], ['저온', 1], ['처음', 1], ['특유', 1], ['은은', 1], ['아이보리', 1], ['컬러', 1], ['묵직', 1], ['산미', 1], ['단맛', 1], ['밸런스', 1], ['입안', 1], ['사랑', 1], ['설레임', 1], ['인상', 1], ['볼빨간', 1], ['추천', 1], ['최고', 1], ['조합', 1], ['본인', 1], ['안주', 1]]","[('막걸리', 6), ('프리미엄', 2), ('사과', 2), ('포도', 2), ('유산', 2), ('드림', 2), ('발효', 2), ('부드럽', 2), ('빨갛', 2), ('없', 1), ('찹쌀', 1), ('디', 1), ('부산', 1), ('감미료', 1), ('온', 1), ('제로', 1), ('은은', 1), ('밝', 1), ('아이보리', 1), ('컬러', 1), ('묵직', 1), ('방식', 1), ('미와', 1), ('단맛', 1), ('밸런스', 1), ('뛰어나', 1), ('첫사랑', 1), ('설레임', 1), ('조합', 1), ('안주', 1)]"
19,19,참주가 생 막걸리,"참주가가 만든 수제입국을 사용하여 깜끔함. 담백함 향기로움
탄산감 부드러움을 다 갖춘 캐주얼한 데일리 막걸리

잔에 따른 후 1분 후에 드시면 더욱 맛있습니다.

참주가 수제입국
「좋은 술은 국(麴, 누룩의 일종)이 결정한다.」 라는 말이 있습니다.
찐 쌀, 밀에 균을 배양하는 일인데 상당히 민감하고 정일한 노력이 필요합니다. 참주가
는 오랜 시행착오 끝에 오동나무를 이용해 국을 빚는 것이 최선임을 깨닫고 국을 만드는 공정
만큼은 전통적 제조 방법을 유지하고 있습니다. 오동나무를 이용한 전통국 제조법은 30분
간격으로 갖난아이 돌보듯 손이 많이 가는 방법입니다. 적절한 온도 유지를 위해 술밥을 큰
보자기로 덮고 이불을 덮어주고 보짬공정이 끝나면 오동나무 상자에 옮겨 참주가만의 조건
으로 27시간을 배양합니다. 이때 온.습도의 유지가 중요한테 자연과 조화롭게 유지해야 균이
스트레스를 받지 않고 맛이 조화로운 막걸리가 됩니다
60여년 대를 이어 막걸리와 함7게한 시간의 가르침을 기록하고 연구하여 참주가 만의 국제조
법이 만들어 졌습니다. 오동나무 상자에서 손으로 만든 국은 술맛의 균형이 매우 조화롭고
달지 않아 개운합니다.","[['주가', 4], ['오동나무', 4], ['유지', 4], ['막걸리', 3], ['조화', 3], ['수제', 2], ['입국', 2], ['배양', 2], ['이용', 2], ['공정', 2], ['방법', 2], ['상자', 2], ['시간', 2], ['사용', 1], ['담백', 1], ['향기', 1], ['로움', 1], ['탄산', 1], ['부드러움', 1], ['캐주얼', 1], ['데일리', 1], ['참주', 1], ['麴', 1], ['누룩', 1], ['일종', 1], ['결정', 1], ['민감', 1], ['정일', 1], ['노력', 1], ['필요', 1], ['시행착오', 1], ['최선임', 1], ['전통', 1], ['제조', 1], ['통국', 1], ['제조법', 1], ['30', 1], ['간격', 1], ['아이', 1], ['적절', 1], ['온도', 1], ['술밥', 1], ['보자기', 1], ['이불', 1], ['조건', 1], ['27', 1], ['이때', 1], ['습도', 1], ['중요', 1], ['자연', 1], ['스트레스', 1], ['60', 1], ['가르침', 1], ['기록', 1], ['연구', 1], ['국제', 1], ['술맛', 1], ['균형', 1], ['개운', 1]]","[('참주', 5), ('막걸리', 3), ('오동나무', 2), ('가가', 1), ('담백', 1), ('탄산', 1), ('부드럽', 1), ('데일리', 1), ('맛있', 1), ('좋', 1), ('누룩', 1), ('민감', 1), ('시행착오', 1), ('이용한', 1), ('아이', 1), ('적절', 1), ('온도', 1), ('크', 1), ('보자기', 1), ('습도', 1), ('여', 1), ('조', 1), ('개운', 1)]"
20,20,복순도가 탁주,"진한 바디감
진한 맛과 향
그 어떠한 방부제,
인공 감미료나 인공 누록이
첨가도」지 않은 전통 막걸리의
맛과 향을 경험해보세요
탄산이 없고 진한
복순도가 탁주

복순도가 탁주는
일반 막걸리보다
도수가 높고 탄산이 없으며
진한 맛과 향을 즐길 수 있는 막걸리입니다
멥쌀을 사용하고 100일 이상 저온 숙성하여
만들어진 전통 방식의 탁주로
옛 막걸리의 진한 맛과 향을 경험해보세요","[['막걸리', 4], ['탁주', 3], ['인공', 2], ['전통', 2], ['경험', 2], ['탄산', 2], ['순도', 2], ['바디', 1], ['어떠', 1], ['방부제', 1], ['감미료', 1], ['첨가', 1], ['일반', 1], ['멥쌀', 1], ['사용', 1], ['100', 1], ['이상', 1], ['저온', 1], ['숙성', 1], ['방식', 1]]","[('진한', 5), ('막걸리', 4), ('인공', 2), ('탄산', 2), ('없', 2), ('순도', 2), ('디', 1), ('어떠', 1), ('방부제', 1), ('감미료', 1), ('누', 1), ('록', 1), ('높', 1)]"
21,21,메밀로25,"진한 메밀향의 메밀증류주

직접 재배한 메밀을 이양주 방식으로 빚어낸 메밀증류주입니다. 상압
으로 내린 술을 항아리에서 1 년간 숙성시골 부드럽고 그윽한 향을
완성합니다. 메밀하면 떠오르는 고소한 향이 그대로 담겨 입 안에서
산뜻하게 피지고 맑게 넘어가면서 알코올이 화한 존재감을 드러냅
니다. 잔잔하게 남는 향까지 음미해보세요.","[['메밀', 5], ['증류주', 2], ['재배', 1], ['이양주', 1], ['방식', 1], ['상압', 1], ['항아리', 1], ['숙성', 1], ['시골', 1], ['그윽', 1], ['완성', 1], ['고소', 1], ['산뜻', 1], ['피지', 1], ['알코올', 1], ['존재감', 1], ['잔잔', 1], ['음미', 1]]","[('메밀', 5), ('증류주', 2), ('진한', 1), ('양주', 1), ('항아리', 1), ('숙성', 1), ('부드럽', 1), ('그윽', 1), ('하면', 1), ('고소', 1), ('산뜻', 1), ('피지', 1), ('맑', 1), ('알코올', 1), ('니다', 1), ('잔잔', 1)]"
22,22,바랑,"지회 금계당에서는 ""해주""라 불리우며 5대째 내려오고 있는 생쌀발효 비법을 그대로 재현한 순곡추 입니다.
생쌀과 전통 누룩의 비법을 가지고 만드는 전통추는 오직 금계당 뿐입니다.
누룩양도 1 % 최소량으로 하여 누룩냄세가 없어 깔끔합니다
""무첨가의 오직 쌀의 맛으로만 빛은 수제 약주 별바랑, 고급 탁주 바랑•
전통추는 어떠한 안주와도 잘 어울립니다. 한식과 함께 마셔도 좋습니다.
누룩향이 없어 누가 마셔도 거부감이 없는 정통 전통주 입니다.
냉장보관으로 차갑게 드시면 끝까지 입에서 도는 향을 느끼실수 있습니다.","[['누룩', 4], ['전통', 3], ['금계', 2], ['생쌀', 2], ['비법', 2], ['바랑', 2], ['지회', 1], ['해주', 1], ['발효', 1], ['재현', 1], ['곡추', 1], ['최소량', 1], ['깔끔', 1], ['첨가', 1], ['수제', 1], ['약주', 1], ['고급', 1], ['탁주', 1], ['어떠', 1], ['안주', 1], ['한식', 1], ['거부', 1], ['정통', 1], ['전통주', 1], ['장보관', 1]]","[('누룩', 4), ('없', 3), ('금계', 2), ('당', 2), ('해주', 1), ('발효', 1), ('추', 1), ('양도', 1), ('깔끔', 1), ('어떠', 1), ('안주', 1), ('와도', 1), ('한식', 1), ('좋', 1), ('정통', 1), ('전통주', 1), ('차갑', 1)]"
23,23,별바랑,"지회 금계당에서는 ""해주""라 불리우며 5대째 내려오고 있는 생쌀발효 비법을 그대로 재현한 순곡추 입니다.
생쌀과 전통 누룩의 비법을 가지고 만드는 전통추는 오직 금계당 뿐입니다.
누룩양도 1 % 최소량으로 하여 누룩냄세가 없어 깔끔합니다
""무첨가의 오직 쌀의 맛으로만 빛은 수제 약주 별바랑, 고급 탁주 바랑•
전통추는 어떠한 안주와도 잘 어울립니다. 한식과 함께 마셔도 좋습니다.
누룩향이 없어 누가 마셔도 거부감이 없는 정통 전통주 입니다.
냉장보관으로 차갑게 드시면 끝까지 입에서 도는 향을 느끼실수 있습니다.","[['누룩', 4], ['전통', 3], ['금계', 2], ['생쌀', 2], ['비법', 2], ['바랑', 2], ['지회', 1], ['해주', 1], ['발효', 1], ['재현', 1], ['곡추', 1], ['최소량', 1], ['깔끔', 1], ['첨가', 1], ['수제', 1], ['약주', 1], ['고급', 1], ['탁주', 1], ['어떠', 1], ['안주', 1], ['한식', 1], ['거부', 1], ['정통', 1], ['전통주', 1], ['장보관', 1]]","[('누룩', 4), ('없', 3), ('금계', 2), ('당', 2), ('해주', 1), ('발효', 1), ('추', 1), ('양도', 1), ('깔끔', 1), ('어떠', 1), ('안주', 1), ('와도', 1), ('한식', 1), ('좋', 1), ('정통', 1), ('전통주', 1), ('차갑', 1)]"
24,24,이동 생 막걸리,"지하 200m 암반수를 이용하여 감칠맛, 단맛, 신맛, 쓴맛 등 가장
중요한 자연 그대로의 물 맛으로 장점을 극대화하였습니다.

더 부드럽게
더 고소하게

모두가 익히 좋아하는
그 맛 그대로
고소함과 부드러움만 더했어요","[['고소', 2], ['지하', 1], ['200', 1], ['암반', 1], ['이용', 1], ['감칠맛', 1], ['단맛', 1], ['신맛', 1], ['쓴맛', 1], ['중요', 1], ['자연', 1], ['장점', 1], ['극대', 1], ['모두', 1], ['부드러움', 1]]","[('부드럽', 2), ('지하', 1), ('감칠맛', 1), ('단맛', 1), ('중요', 1), ('고소', 1), ('소함', 1)]"
25,25,담솔,"제대로 내린 쌀 소주를 드서보고 싶다면
한국 전통 소주의 진가를 느껴보고 싶다면
좋은 분께 한국의 멋을 선물하고 싶다면
바로 담솔입니다

국내산 쌀과 솔잎, 송순으로 빚은 솔송주를 정성스레 증류하여 받아낸 뒤
저온에서 밀폐하여 숙성시킨 고금 리큐르입니다.
쌀 소주 특유의 날카로운 향내와 맛을 부드럽게 잡아낸 담솔은
차갑게 드신다면 그 부드러움과 깊이가 한결 더합니다
일반석인 한식과 잘 어울리지만
회와 함께 하시 면 궁합이 가장 좋습니다","[['소주', 3], ['한국', 2], ['담솔', 2], ['전통', 1], ['진가', 1], ['선물', 1], ['국내', 1], ['솔잎', 1], ['송순', 1], ['송주', 1], ['증류', 1], ['저온', 1], ['밀폐', 1], ['숙성', 1], ['고금', 1], ['리큐르', 1], ['특유', 1], ['향내', 1], ['부드러움', 1], ['깊이', 1], ['일반', 1], ['석인', 1], ['한식', 1], ['궁합', 1]]","[('한국', 2), ('소주', 2), ('좋', 2), ('부드럽', 2), ('드', 1), ('서', 1), ('보고 싶다', 1), ('진가', 1), ('송순', 1), ('송', 1), ('온', 1), ('고금', 1), ('리', 1), ('날카롭', 1), ('차갑', 1), ('석이', 1), ('한식', 1), ('궁합', 1)]"
26,26,너브내 로제 스위트,장밋빛의 컬러가 특징이며 달콤한 베리계열 과일향과 시원하고 산뜻한 허브향이 어우러진 디저트 와인입니다. 호불호가 적어 선물용 와인으로 인기가 많습니다,"[['와인', 2], ['장밋빛', 1], ['컬러', 1], ['특징', 1], ['달콤', 1], ['베리', 1], ['계열', 1], ['일향', 1], ['시원', 1], ['산뜻', 1], ['허브', 1], ['디저트', 1], ['호불호', 1], ['선물', 1], ['인기', 1]]","[('와인', 2), ('컬러', 1), ('달콤', 1), ('베리', 1), ('일향', 1), ('시원', 1), ('산뜻', 1), ('허브', 1), ('디저트', 1), ('불', 1), ('호가', 1), ('적', 1), ('많', 1)]"
27,27,금이산 복숭아 와인,잘익은 세종시 조치원 복숭아만을 선별하여 저온에서 천천히 발효시켜 만든 와인입니다. 은은하고 달콤한 복숭아의 풍미를 경험하실 수 있습니다.,"[['복숭아', 2], ['종시', 1], ['조치원', 1], ['선별', 1], ['저온', 1], ['발효', 1], ['와인', 1], ['은은', 1], ['달콤', 1], ['풍미', 1], ['경험', 1]]","[('복숭아', 2), ('세종', 1), ('조치원', 1), ('온', 1), ('와인', 1), ('은은', 1), ('달콤', 1)]"
28,28,민속주 왕주,은은한 약초 내음과 부드러우면서도 혀끝을 감아도는 감칠맛이 일품인 술,"[['은은', 1], ['약초', 1], ['내음', 1], ['감칠맛', 1], ['일품', 1]]","[('은은', 1), ('부드럽', 1), ('감칠맛', 1)]"
29,29,유톡자톡,"유톡자톡은 막걸리의 인식을 새롭게 하고 싶은 양주도가의 마음이 함께 한 막걸리입니다.
전반적으로 맛의 균형감, 유자의 향과 막걸리의 어울림이 좋아 유자의 천연과즙의 향이 탄산과 잘 어우러져 극대화된 청량감을 느낄 수 있습니다.","[['막걸리', 3], ['유자', 2], ['인식', 1], ['양주', 1], ['도가', 1], ['마음', 1], ['전반', 1], ['균형감', 1], ['어울림', 1], ['천연', 1], ['탄산', 1], ['극대', 1], ['청량감', 1]]","[('막걸리', 3), ('유자', 2), ('새롭', 1), ('양주', 1), ('도가', 1), ('좋', 1), ('탄산', 1)]"
30,30,복순도가 슈퍼 드라이,"울산을 대표하는 프리미엄 전통주 브랜드 복순도가의 여섯번째 작품.
감미료 없이 쌀, 곡자, 정제수 세가지 재료로만 빚어냈습니다.
단맛을 줄여 복순도가 손막걸리의 본연의 맛을 섬세하게 경험할 수 있습니다.

균질도
질 좋은 누룩과 쌀을 전통 방식으로 발효하여
신선한 요구르트 같은 살구빛을 띠며, 입자가 매우 고와
탁주 특유의 텁텁함 없이 청량함이 뛰어납니다
단맛을 줄여 손막걸리 본연의 맛을 섬세하게 표현했습니다
샴페인과 같은 천연탄산을 그대로 유지한大H
부드러운 목넘김과 향긋한 산미가 특징입니다
고급 누록향을 가득 머금은 포근한 누록향과
숙성되며 농축된! 향긋한 과실내음이 조화롭게 느껴집니다","[['순도', 2], ['단맛', 2], ['막걸리', 2], ['본연', 2], ['섬세', 2], ['향긋', 2], ['울산', 1], ['대표', 1], ['프리미엄', 1], ['전통주', 1], ['브랜드', 1], ['여섯', 1], ['작품', 1], ['감미료', 1], ['곡자', 1], ['정제', 1], ['가지', 1], ['재료', 1], ['경험', 1], ['균질', 1], ['누룩', 1], ['전통', 1], ['방식', 1], ['발효', 1], ['신선', 1], ['요구르트', 1], ['살구', 1], ['입자', 1], ['탁주', 1], ['특유', 1], ['텁텁', 1], ['청량', 1], ['표현', 1], ['샴페인', 1], ['천연', 1], ['탄산', 1], ['유지', 1], ['大', 1], ['넘김', 1], ['산미', 1], ['특징', 1], ['고급', 1], ['포근', 1], ['숙성', 1], ['농축', 1], ['과실', 1], ['내음', 1], ['조화', 1]]","[('순도', 2), ('단맛', 2), ('막걸리', 2), ('섬세', 2), ('같', 2), ('향긋', 2), ('누', 2), ('록', 2), ('울산', 1), ('프리미엄', 1), ('전통주', 1), ('브랜드', 1), ('가의', 1), ('감미료', 1), ('정제', 1), ('재료', 1), ('로만', 1), ('좋', 1), ('누룩', 1), ('신선', 1), ('요구르트', 1), ('입자', 1), ('고와', 1), ('텁텁', 1), ('뛰어나', 1), ('샴페인', 1), ('탄산', 1), ('유지', 1), ('한', 1), ('부드럽', 1), ('포근', 1), ('과실', 1)]"
31,31,옥지춘,"우리나라 최초의 요리책
산가요록에 기록된 조리법
조선 전기 세종의 어의였던 전순의가 지어 지금까지 전해오는 가장 오래된 요리책이 바로 산가요록입니다.
잣막걸리의 원형을 찾는 과정에서 이 산가요록에 기록된 '옥지춘'이라는 막걸리를 만났고, 토종 벼 품종으로 100여회의 시험 담금을 통해 550여년 만에 산가요록의 막걸리를 복원했습니다.

'껍질을 벗기지 않은 잣'을 찧어 투박하지만 정겨운 옛날 그 모습 그대로 오로지 잣, 쌀, 누룩, 물로만 빚은 고문헌 속 옥지춘이 시간을 건너 지금 우리와 마주합니다.","[['산가', 4], ['요록', 4], ['막걸리', 3], ['우리', 2], ['요리', 2], ['기록', 2], ['나라', 1], ['최초', 1], ['조리법', 1], ['조선', 1], ['전기', 1], ['세종', 1], ['어의', 1], ['전순', 1], ['지금', 1], ['원형', 1], ['과정', 1], ['옥지춘', 1], ['토종', 1], ['품종', 1], ['100', 1], ['여회', 1], ['시험', 1], ['담금', 1], ['550', 1], ['복원', 1], ['껍질을 벗기지 않은 잣', 1], ['투박', 1], ['옛날', 1], ['모습', 1], ['누룩', 1], ['고문헌', 1], ['옥지', 1], ['시간', 1]]","[('산가요록', 4), ('막걸리', 3), ('여', 2), ('우리나라', 1), ('조리법', 1), ('조선', 1), ('세종', 1), ('전순의', 1), ('옥', 1), ('품종', 1), ('회의', 1), ('껍질', 1), ('투박', 1), ('정겨운', 1), ('누룩', 1), ('이', 1)]"
32,32,너브내 스파클링 화이트 드라이,우리나라 최초의 샤르망 방식으로 만든 스파클링 와인으로 '청향'청포도의 향과 미세한 천연탄산이 와인에 풍부하게 녹아있어 마시는 내내 부드러운 맛과 깔끔한 산미를 즐길 수 있습니다.,"[['와인', 2], ['우리', 1], ['나라', 1], ['최초', 1], ['샤르망', 1], ['방식', 1], ['스파클', 1], ['청향', 1], ['청포도', 1], ['미세', 1], ['천연', 1], ['탄산', 1], ['풍부', 1], ['내내', 1], ['깔끔', 1], ['산미', 1]]","[('와인', 2), ('우리나라', 1), ('스파크', 1), ('청', 1), ('청포도', 1), ('미세', 1), ('연탄', 1), ('산이', 1), ('풍부', 1), ('부드럽', 1), ('깔끔', 1)]"
33,33,너브내 레드 드라이,"우리나라 최초의 레드와인 포도품종 '블랙아이', '블랙썬'으로 만들었으며 풍부한 안토시아닌과 한식에 어울리는 적당한 바디감, 스파이시한 맛을 가지고 있어 강원도 떼루아의 맛을 즐길 수 있습니다","[['우리', 1], ['나라', 1], ['최초', 1], ['레드와인', 1], ['포도', 1], ['품종', 1], [""블랙아이', "", 1], ['블랙', 1], ['풍부', 1], ['안토시아닌', 1], ['한식', 1], ['적당', 1], ['바디', 1], ['스파', 1], ['이시한', 1], ['강원도', 1], ['루아', 1]]","[('블랙', 2), ('우리나라', 1), ('레드', 1), ('와인', 1), ('포도', 1), ('품종', 1), ('아이', 1), ('썬', 1), ('풍부', 1), ('안토시아닌', 1), ('한식', 1), ('적당', 1), ('디', 1), ('스파이', 1), ('강원도', 1), ('떼루아', 1)]"
34,34,WON SOJU,"옹기숙성을 거친 감압 증류방식으로 탄생하여
부드러운 목넘김이 일품인 전통 증류식 소주","[['증류', 2], ['기숙', 1], ['감압', 1], ['방식', 1], ['탄생', 1], ['넘김', 1], ['일품', 1], ['전통', 1], ['소주', 1]]","[('옹기', 1), ('숙성', 1), ('감압 증류', 1), ('방식', 1), ('부드럽', 1), ('증류', 1), ('소주', 1)]"
35,35,화주 40,오양주의 맑은 술만을 따로 증류하여 3년 이상 숙성한 증류주,"[['양주', 1], ['증류', 1], ['이상', 1], ['숙성', 1], ['증류주', 1]]","[('양주', 1), ('맑', 1), ('숙성', 1), ('한', 1), ('증류주', 1)]"
36,36,화주 53,오양주의 맑은 술만을 따로 증류하여 3년 이상 숙성한 증류주,"[['양주', 1], ['증류', 1], ['이상', 1], ['숙성', 1], ['증류주', 1]]","[('양주', 1), ('맑', 1), ('숙성', 1), ('한', 1), ('증류주', 1)]"
37,37,화주 53 골드,오양주의 맑은 술만을 따로 증류하여 3년 이상 숙성한 증류주,"[['양주', 1], ['증류', 1], ['이상', 1], ['숙성', 1], ['증류주', 1]]","[('양주', 1), ('맑', 1), ('숙성', 1), ('한', 1), ('증류주', 1)]"
